"feature","z","cell_type","cell"
"feature 12",-0.25660064114989006,"cell type 3","C45_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C45_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C45_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C45_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C45_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C45_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C46_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C46_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C46_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C46_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C46_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C46_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C46_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C46_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C46_p1d1"
"feature 6",-0.5740092168195461,"cell type 2","C47_p1d1"
"feature 5",2.6337420432160465,"cell type 2","C47_p1d1"
"feature 13",2.7166974418357475,"cell type 2","C47_p1d1"
"feature 12",3.7920624622608576,"cell type 2","C47_p1d1"
"feature 9",2.823270499791862,"cell type 2","C47_p1d1"
"feature 14",2.5021681103278284,"cell type 2","C47_p1d1"
"feature 8",-0.7023805146082471,"cell type 2","C47_p1d1"
"feature 11",2.690711806957024,"cell type 2","C47_p1d1"
"feature 1",-0.7023366235904492,"cell type 2","C47_p1d1"
"feature 6",-0.5740092168195461,"cell type 2","C48_p1d1"
"feature 5",2.5179141668038434,"cell type 2","C48_p1d1"
"feature 13",2.5064646194952163,"cell type 2","C48_p1d1"
"feature 12",-0.25660064114989006,"cell type 2","C48_p1d1"
"feature 9",2.64177202358546,"cell type 2","C48_p1d1"
"feature 14",2.449404603525949,"cell type 2","C48_p1d1"
"feature 8",-0.7023805146082471,"cell type 2","C48_p1d1"
"feature 11",-0.3570586999731203,"cell type 2","C48_p1d1"
"feature 1",-0.7023366235904492,"cell type 2","C48_p1d1"
"feature 6",1.6596942420898535,"cell type 3","C49_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C49_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C49_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C49_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C49_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C49_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C49_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C49_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C49_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C5_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C5_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C5_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C5_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C5_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C5_p1d1"
"feature 8",1.5198549397688725,"cell type 1","C5_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C5_p1d1"
"feature 1",1.3996635678818323,"cell type 1","C5_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C50_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C50_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C50_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C50_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C50_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C50_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C50_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C50_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C50_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C51_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C51_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C51_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C51_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C51_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C51_p1d1"
