"from","to","r","t","p.value","FDR","Type"
"CRO-01G027010","CRO-01G030540",0.9985040784166384,65.84375430311835,4.242758038224218e-18,9.265071376190119e-14,"co-expressed"
"CRO-01G001040","CRO-01G032400",0.7996602731614543,4.801737268362677,1.7288128178181937e-4,0.007130734670427588,"co-expressed"
"CRO-01G004350","CRO-01G032400",0.8643143078938246,6.1960766991520995,1.6195836022415355e-5,0.001153107408666207,"co-expressed"
"CRO-01G008860","CRO-01G032400",0.8220817263083836,5.2058597825218476,8.467781913415129e-5,0.004163413259757353,"co-expressed"
"CRO-01G013240","CRO-01G032400",0.8505650128362497,5.831776503850672,2.929488529452066e-5,0.0018380295335630168,"co-expressed"
"CRO-01G020260","CRO-01G032400",0.8831937341962252,6.789645274622703,6.4125317492025475e-6,5.478345121883102e-4,"co-expressed"
"CRO-01G020380","CRO-01G032400",0.8827181126581419,6.773070415724574,6.576344869464156e-6,5.592590909918051e-4,"co-expressed"
"CRO-01G021480","CRO-01G032400",0.8140616591741648,5.0538049797565066,1.104822268400882e-4,0.0050960687547052285,"co-expressed"
"CRO-01G026840","CRO-01G032400",0.8168363752099882,5.105393517481328,1.0091279665075468e-4,0.0047574261401600254,"co-expressed"
"CRO-01G027620","CRO-01G032400",0.8837190258812745,6.808061786552722,6.235566181554804e-6,5.357275490398068e-4,"co-expressed"
"CRO-01G028400","CRO-01G032400",0.8080937509789182,4.946276539254006,1.3359806104238728e-4,0.005880212449466303,"co-expressed"
"CRO-01G028790","CRO-01G032400",0.799495127385079,4.79898833493985,1.7373545773730867e-4,0.00715826282434565,"co-expressed"
"CRO-01G030520","CRO-01G032400",0.8129231636093692,5.0329366885707385,1.1461793123726223e-4,0.005236946084249046,"co-expressed"
"CRO-01G032060","CRO-01G032400",0.8455861866521113,5.711094104325346,3.579562030660625e-5,0.00214696405361548,"co-expressed"
"CRO-01G032230","CRO-01G032400",0.806298685236389,4.914808046299807,1.4127719631110925e-4,0.006130112205115079,"co-expressed"
"CRO-01G032400","CRO-01G033160",0.785938398325814,4.583081295232575,0.00025662658590000433,0.009569808399618424,"co-expressed"
"CRO-01G032400","CRO-01G033300",0.8818214860651598,6.742079649775109,6.894622046057895e-6,5.80998768787656e-4,"co-expressed"
"CRO-01G032400","CRO-02G000210",0.8250216355813852,5.263938769100577,7.656047574099234e-5,0.003855622104659942,"co-expressed"
"CRO-01G032400","CRO-02G000230",0.7954896531759986,4.733224625671889,1.9553349830706007e-4,0.007819705937932806,"co-expressed"
"CRO-01G032400","CRO-02G000620",0.8400609905516347,5.583277119362395,4.435848151918313e-5,0.002534086343438254,"co-expressed"
"CRO-01G032400","CRO-02G000810",0.8407979763979022,5.599973578619378,4.3127362806581783e-5,0.0024810215428393437,"co-expressed"
"CRO-01G000560","CRO-02G001090",0.9985681809580016,67.3047705648995,3.1921268447836382e-18,7.518210791235181e-14,"co-expressed"
"CRO-01G005870","CRO-02G001090",0.9525861520265878,11.288032107389803,2.1683469472922007e-8,4.780820831443398e-6,"co-expressed"
"CRO-01G006470","CRO-02G001090",0.8539861224260832,5.917962144709144,2.541991337800499e-5,0.0016450846676203112,"co-expressed"
